evaluator,gpt-oss-20b-thinking,gpt-oss-120b-thinking,sonnet-3.7-thinking,sonnet-4.5-thinking,opus-4.1-thinking,gemini-2.5-flash-thinking,gemini-2.5-pro-thinking,ll-3.3-70b-dsR1-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking
gpt-oss-20b-thinking,,0.6153846153846154,0.7,0.5641025641025641,0.7692307692307693,0.475,0.65,0.7,0.65,0.725
gpt-oss-120b-thinking,0.5384615384615384,,0.675,0.7,0.8,0.675,0.675,0.725,0.8,0.85
sonnet-3.7-thinking,0.925,1.0,,0.475,0.5897435897435898,0.825,0.9,0.8205128205128205,0.575,0.875
sonnet-4.5-thinking,0.75,0.775,0.675,,0.6,0.75,0.85,0.9,0.725,0.7
opus-4.1-thinking,0.575,0.55,0.475,0.5,,0.525,0.55,0.75,0.5,0.65
gemini-2.5-flash-thinking,0.975,1.0,0.825,0.675,0.775,,0.425,0.9,0.2,0.425
gemini-2.5-pro-thinking,1.0,1.0,0.8,0.8,0.9,0.6,,0.925,0.55,0.675
ll-3.3-70b-dsR1-thinking,0.775,0.7,0.45,0.275,0.325,0.3,0.25,,0.075,0.175
qwen-3.0-80b-thinking,1.0,1.0,0.85,0.875,0.875,0.725,0.75,0.9,,0.775
deepseek-r1-thinking,0.95,1.0,0.6,0.75,0.7,0.475,0.425,0.8,0.425,
